@relation peerindex-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute class {0,1}
@attribute A_follower_count numeric
@attribute A_following_count numeric
@attribute A_listed_count numeric
@attribute A_mentions_received numeric
@attribute A_retweets_received numeric
@attribute A_mentions_sent numeric
@attribute A_retweets_sent numeric
@attribute A_posts numeric
@attribute A_network_feature_1 numeric
@attribute A_network_feature_2 numeric
@attribute A_network_feature_3 numeric
@attribute B_follower_count numeric
@attribute B_following_count numeric
@attribute B_listed_count numeric
@attribute B_mentions_received numeric
@attribute B_retweets_received numeric
@attribute B_mentions_sent numeric
@attribute B_retweets_sent numeric
@attribute B_posts numeric
@attribute B_network_feature_1 numeric
@attribute B_network_feature_2 numeric
@attribute B_network_feature_3 numeric

@data
0,228,302,3,0.583979,0.100503,0.100503,0.100503,0.36215,2,166.5,11355,34463,29808,1689,15.430498,3.984029,8.204331,0.332423,6.988815,66,75.530303,1916.893939
0,21591,1179,228,90.456506,25.798292,5.709329,1.111159,5.17662,369,18.442971,1330.366048,39262,848,1610,40.495021,8.943607,3.227677,0.564343,1.070321,163,132.030675,2931.515337
0,7310,1215,101,25.503644,9.556347,5.361519,0.591206,3.589718,95,68.927835,5999.896907,3622,482,206,0.734696,0.354379,0.603202,0.100503,0.603202,3,10.333333,277.333333
0,20,7,2,7.690824,0.277306,1.331508,0.100503,2.830627,6,2,96.166667,19562,17637,278,572.874856,390.293681,27.55204,7.167557,32.101906,1762,23.469296,1395.845634
1,45589,862,2641,148.854279,36.998884,27.881768,3.333492,23.861282,551,127.404293,2833.847943,7554,1711,181,21.601866,3.581661,6.764657,1.119727,4.563246,85,48.5,1993.627907
0,285735,276251,3417,19.327582,7.292016,0.100503,0.100503,0.100503,60,44.806452,4144.258065,11147,1500,474,40.592512,5.923009,19.648064,1.861765,12.261029,128,107.431818,2481.136364
0,285735,276251,3417,19.327582,7.292016,0.100503,0.100503,0.100503,60,44.806452,4144.258065,185616,1001,15117,266.013874,54.34523,13.111904,0.334766,13.665173,928,172.986229,5321.646186
1,9512,12,213,52.167068,23.182288,0.36215,0.100503,6.806045,195,11.678571,564.040816,8120,710,959,7.368643,2.088375,1.598798,0.595812,1.332849,29,205.533333,4302.466667
1,2273871,4524,11946,6782.405338,2944.524245,12.955723,2.791861,66.206208,21678,6.859364,1113.202016,298668,551,6209,493.256379,206.660552,4.115212,0.854539,3.075463,2021,75.970098,3865.446569
0,182598,1402,3831,145.84491,74.002958,23.549189,0.100503,15.953243,567,276.496516,8038.066202,117913,1299,9950,189.75523,67.310223,11.294831,2.567269,10.933766,791,185.542033,5535.939774
0,3200,3256,146,0.290192,0.100503,0.36215,0.100503,0.36215,1,0,11,322682,37601,22232,176.533716,42.330221,6.849227,1.345073,4.359865,696,234.338068,7168.464489
0,3914,1439,165,2.404212,1.161946,0.100503,0.100503,0.100503,9,18.777778,899,85138,67047,5103,150.340456,68.117366,5.480349,0.100503,71.879274,568,205.883275,9580.39547
1,23230,495,826,118.052432,56.668293,6.373205,0.84072,9.827005,466,105.210638,3589.004255,750,997,29,2.292465,0.312366,5.135358,2.032459,4.423156,11,192.363636,3855.727273
0,4321482,259,32741,7068.594081,3773.248759,2.101994,0.339522,10.216532,25313,11.303281,1404.195349,224146,272,6190,56.72528,11.854057,0.100503,0.100503,5.782979,211,54.925234,7211.663551
1,2088,419,148,4.250833,0.100503,0.100503,0.100503,0.100503,18,9,254.722222,4511,4962,163,4.737176,1.230939,1.414102,0.364793,2.456055,17,20.444444,937.388889
1,48711,22845,932,61.924804,18.578901,0.100503,0.100503,0.100503,229,80.343348,4431.682403,750,997,29,2.292465,0.312366,5.135358,2.032459,4.423156,11,192.363636,3855.727273
0,4760,425,96,5.011962,1.407896,0.100503,0.100503,0.100503,22,3,277.590909,3166413,276,603,1253.345429,980.120926,12.963425,2.380018,100.537797,4801,7.906174,1694.698822
