Choice,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,-0.31849,-0.25027,-0.35212,-0.095938,-0.099672,-0.61873,-0.52342,-0.4734,-0.18862,0.77417,1.3493,-0.30215,0.34542,-0.25192,-0.095392,-0.09929,0.22323,-0.40294,-0.12235,-0.18633,-0.089049,-0.32441
0,-0.30829,-0.23257,-0.33875,-0.092634,-0.097147,-0.035994,0.0015992,-0.21835,-0.17546,-0.63075,-0.42842,-0.29986,-0.23925,-0.25661,-0.09447,-0.098803,-0.29383,-0.28246,-0.43589,-0.18285,0.44709,-0.14448
0,-0.31511,-0.23184,-0.3463,-0.095022,-0.098743,-0.07213,-0.26851,-0.30242,-0.18529,-0.1517,0.39967,-0.31687,-0.24664,-0.34006,-0.095932,-0.099647,-0.56651,-0.52342,-0.46063,-0.18859,-0.70771,-0.61517
0,-0.31859,-0.25623,-0.35218,-0.095676,-0.099654,-0.49084,-0.52342,-0.34263,-0.18848,-0.78678,-0.6473,-0.30926,0.099701,-0.33578,-0.074899,-0.061342,2.2334,3.1478,1.2081,-0.1255,-0.58306,-0.41681
1,-0.29684,-0.23897,-0.19534,-0.090487,-0.096047,2.2677,1.1561,0.77149,-0.16894,0.40319,-0.1618,-0.31499,-0.22183,-0.34154,-0.095165,-0.09933,0.073652,0.0060501,-0.25084,-0.18565,-0.34554,-0.3108
0,-0.18225,5.3208,-0.14922,-0.095249,-0.098965,-0.61873,-0.52342,-0.48726,-0.18654,-0.38059,0.070592,-0.31328,-0.22609,-0.32413,-0.094467,-0.0991,1.4122,0.39153,0.15696,-0.18411,0.21367,-0.22435
0,-0.18225,5.3208,-0.14922,-0.095249,-0.098965,-0.61873,-0.52342,-0.48726,-0.18654,-0.38059,0.070592,-0.23003,-0.23616,0.54613,-0.08618,-0.094343,0.73311,-0.40173,0.23134,-0.15541,0.83571,0.27939
1,-0.31406,-0.25613,-0.33964,-0.094041,-0.097404,-0.59155,-0.52342,-0.13203,-0.1817,-0.69494,-0.56432,-0.31472,-0.24204,-0.2953,-0.095688,-0.099476,-0.46307,-0.26612,-0.42198,-0.18766,1.1446,0.098649
1,0.76641,-0.16504,0.35767,0.15337,0.18956,0.71689,0.8747,3.0148,0.58878,-0.74067,-0.46694,-0.17608,-0.24525,0.016712,-0.077826,-0.079381,-0.20162,-0.13171,-0.32966,-0.11621,-0.084876,0.021148
0,-0.23147,-0.22807,-0.12462,-0.090598,-0.092412,1.8175,-0.52342,0.35256,-0.16836,1.8179,0.76112,-0.26233,-0.23015,0.23905,-0.088983,-0.09307,0.54432,0.75803,0.086642,-0.16033,0.95486,0.31739
