A_PageRank,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_PageRank,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0.0006551651,614689,400,5729,199.618296223,67.8124694734,9.3661922419,0.3595336011,4.0944875527,669,39.1937406855,2565.61251863,0.0019019651,1404323,563,20057,967.720641729,579.431127684,4.4737984918,0.8056802321,6.2418059403,4027,57.6438389197,3201.29370629
0.0010725111,739581,10723,1279,102.026750104,96.7713185484,1.537321816,1.0543580385,3.467753982,432,11.1916859122,966.193995381,0.0008486223,756715,12949,1311,38.2605222677,10.6975673388,12.8457932425,1.5842838557,12.1066615563,144,209.717241379,21496.5655172
0.0003099253,3638,3341,85,2.7935772011,1.4027026296,2.5940892677,0.5981501935,3.8021434159,11,9.4166666667,489.083333333,0.0016383479,488750,320,3673,1207.19007707,599.721600029,0.842022025,0.5931986075,7.0447345452,3918,7.8598178138,637.983299595
0.0002213796,613,1259,31,1.3260405299,0.3569432987,6.249678186,2.3230639173,7.4881155808,4,5,275,0.0008019719,13456,3599,1072,10.3002222641,3.8285611408,1.6240920655,0.1005033585,1.61428743,43,113.840909091,2537.77272727
0.0024146824,1352348,331,15647,19129.8486618,14552.7339915,2.0654180329,0.5809552537,16.2815024995,52580,3.0924476968,597.563636364,0.0014515909,1481379,147521,15043,9902.07037931,5012.05587584,10.4384603887,0.1005033585,193.072418229,28564,10.9641442568,1035.95549302
0.0002002645,1010,1014,62,0.9576896234,0.1005033585,1.0470177354,0.3371319527,0.3371319527,4,154.75,1705,0.0004107282,9093,672,457,11.1220209346,2.8135230448,15.1659349125,2.5386671759,7.0167592503,36,123.138888889,4708.16666667
0.0016559843,5922518,483,7594,65758.403536,32054.0555967,1.6124101103,0.1005033585,2.6316067544,187674,6.0156938527,1199.63681206,0.0012650965,298668,551,6209,493.256379358,206.660552171,4.115212281,0.8545391021,3.0754628095,2021,75.9700980392,3865.44656863
0.002387895,580544,2799,7371,296.978205315,135.831428625,15.0330256841,4.8071798123,8.2620631267,1201,87.1837748344,3547.78228477,0.0001959367,676,243,43,1.9825308626,1.3606406178,0.1005033585,0.1005033585,36.4016397161,6,4.6666666667,269.5
0.0003525805,364,927,6,0.5516804778,0.3102473647,0.8349808627,0.3395221406,0.8325906749,2,1.5,122,0.0013931704,2774790,20342,15836,5088.57716465,6.1830806789,0.8104606078,0.3395221406,1.0817573066,18549,4.7813390696,454.967894595
0.0012491964,541611,2140,10406,2418.36985923,981.459888729,13.9255848212,0.1005033585,32.9730239162,8550,59.1202267994,4861.41090025,0.0005402078,125438,983,4074,55.1372659579,23.4461396366,2.251398297,0.1005033585,7.2079084546,239,217.241666667,6466.73333333
0.0001589904,657021,4535,6187,640.945858955,103.354442415,2.1351367092,0.3595336011,1.8761064666,2453,28.3141932875,1644.85766276,0.000425441,3042715,3811,32579,1951.52822645,890.613211633,1.3725736842,0.1005033585,2.8810770675,7855,33.0857468066,2423.98912356
0.0012491964,541611,2140,10406,2418.36985923,981.459888729,13.9255848212,0.1005033585,32.9730239162,8550,59.1202267994,4861.41090025,0.0004107282,9093,672,457,11.1220209346,2.8135230448,15.1659349125,2.5386671759,7.0167592503,36,123.138888889,4708.16666667
0.0008486223,756715,12949,1311,38.2605222677,10.6975673388,12.8457932425,1.5842838557,12.1066615563,144,209.717241379,21496.5655172,0.0007984286,128305,213,942,140.038427023,77.7520497721,2.1495359303,0.1005033585,19.4340698837,466,29.9936440678,1643.37923729
0.0012929695,501043,3289,6694,307.805391227,72.5250702042,2.1036441131,0.6040911504,2.8324013765,1093,70.6588021779,4390.37931034,0.0016246574,1706188,402,12138,837.580052302,93.569848167,7.6212593663,2.6090599903,4.8662709906,2597,21.2891013384,1937.63938815
0.0015900716,48711,22845,932,61.9248042388,18.5789010899,0.1005033585,0.1005033585,0.1005033585,229,80.3433476395,4431.68240343,0.0003133381,1043,974,31,0.1005033585,0.1005033585,1.1342695243,0.1005033585,1.6373493471,0,0,0
0.0012944493,242529,7561,3702,242.63363551,106.676389127,7.1983304393,2.0405110851,10.073921354,894,63.0989988877,8653.06562848,0.0008375414,3867,2059,170,92.9958484391,6.5588304925,66.0539248723,9.2138349697,54.4814646219,252,89.4745098039,2699.65490196
0.0020982413,7360339,95,43590,12473.150064,9597.00107289,5.3239472928,1.3536235268,8.2662387278,46906,7.320319919,838.486589149,0.0002152845,794,892,32,1.336914175,0.3621500682,1.0592125586,0.3371319527,0.8225839644,4,0,68.5
0.0015061246,71597,44262,1437,10.4035634589,3.3653546397,0.5912056069,0.1005033585,5.0745674068,47,72.1063829787,2146.89361702,0.0010085246,404679,3866,7149,89.0150487336,10.4367800398,14.1894824157,0.8300950124,8.0708983647,322,250.058282209,7562.35276074
0.0012650965,298668,551,6209,493.256379358,206.660552171,4.115212281,0.8545391021,3.0754628095,2021,75.9700980392,3865.44656863,0.0007101023,3832,859,312,11.1233264183,3.7552064394,0.5738561569,0.1005033585,1.3014346788,36,67.7567567568,1152.24324324
0.0010291836,185616,1001,15117,266.013873916,54.3452304246,13.1119037493,0.3347656668,13.6651725665,928,172.986228814,5321.64618644,0.0015364307,1682535,1015,24553,406.752146874,275.93194543,6.6612080914,1.8062605472,5.7672669037,1660,171.575811209,10590.3946903
0.001122572,16637,2588,1241,106.564028452,28.568819586,3.3793549082,0.5908589259,4.3292811073,390,127.431818182,1968.48989899,0.0002911689,3253,833,110,15.2853046537,7.6842365407,0.1005033585,0.1005033585,0.1005033585,68,284.802816901,5172.28169014
0.000253568,2696,1718,20,4.2370517539,0.3210566715,0.5861024521,0.1005033585,0.8374392375,18,84.9444444444,2656.88888889,0.0022916658,78083,679,3680,165.594483553,89.1431564125,5.1862668448,2.4168313702,7.1793637855,682,82.9869565217,3777.76666667
0.0009834508,146298,49266,9392,146.311226579,84.4510189798,1.3083555275,0.1005033585,4.0358259366,600,54.802306425,1953.62602965,0.0003863002,2470,357,119,1.1264741305,0.3232844828,0.3371319527,0.3371319527,0.5961621953,5,60.6,1983
0.0010042117,54453,7688,2597,115.323357245,22.752883155,16.8677184175,2.0924985043,10.746838393,441,258.051454139,8569.14988814,0.0007101023,3832,859,312,11.1233264183,3.7552064394,0.5738561569,0.1005033585,1.3014346788,36,67.7567567568,1152.24324324
0.000171333,3106,3232,47,4.12499755,2.5711128009,0.1005033585,0.1005033585,1.1090679786,17,5,531.944444444,0.0010725111,739581,10723,1279,102.026750104,96.7713185484,1.537321816,1.0543580385,3.467753982,432,11.1916859122,966.193995381
0.0002130633,627,1993,3,2.2231788702,0.327807842,7.0498586564,1.2959367628,4.05226713,9,14.5555555556,338.777777778,0.0013865499,220242,357,1062,452.547280711,140.0075344,13.439022061,3.0436932644,13.6479820066,1796,13.6619178082,1375.80767123
0.0002130633,627,1993,3,2.2231788702,0.327807842,7.0498586564,1.2959367628,4.05226713,9,14.5555555556,338.777777778,0.0009967708,15002,1945,670,98.5074168407,20.957708926,25.6464141098,0.8395089085,23.3514624082,350,83.4039548023,3133.56214689
0.0009149454,96531,87,363,81.5617342573,43.3214649545,6.5902451098,2.3391332378,12.0896446122,296,9.2087542088,2112.07407407,0.001181731,236123,858,2794,77.1935733839,23.9710764579,12.5416012889,2.5507250684,12.6070724246,307,159.200647249,5131.31067961
0.0001418282,44,79,1,0.5768715825,0.1005033585,0.1005033585,0.1005033585,0.1005033585,2,33.5,629,0.0002191787,7147,737,112,2.3329897267,0.7145563401,0.8621299808,0.1005033585,1.3575887029,11,13.2727272727,520.181818182
0.0015364307,1682535,1015,24553,406.752146874,275.93194543,6.6612080914,1.8062605472,5.7672669037,1660,171.575811209,10590.3946903,0.0013865499,220242,357,1062,452.547280711,140.0075344,13.439022061,3.0436932644,13.6479820066,1796,13.6619178082,1375.80767123
0.0001959367,676,243,43,1.9825308626,1.3606406178,0.1005033585,0.1005033585,36.4016397161,6,4.6666666667,269.5,0.0010042117,54453,7688,2597,115.323357245,22.752883155,16.8677184175,2.0924985043,10.746838393,441,258.051454139,8569.14988814
0.0019816056,508213,554,16338,3619.31076978,878.310233803,7.8286757017,2.2675742595,23.6213238573,12453,47.6179080824,2314.93335975,0.0002191787,7147,737,112,2.3329897267,0.7145563401,0.8621299808,0.1005033585,1.3575887029,11,13.2727272727,520.181818182
0.0011600428,245591,266,4105,111.713045319,46.7096713942,2.4385836502,0.5714418257,3.1413942379,501,156.454365079,6599.69642857,0.000340184,41765,185,1356,1529.64305757,282.858500112,76.8095144531,5.3921710955,104.438625475,3307,50.1320417288,3585.78986587
