Choice,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,0.70066,-0.94455,1.3579,0.40435,-0.0089767,0.28404,-0.41027,-0.059307,0.012543,-0.022594,0.0027314,0.38146,-0.070053,-0.19164,-0.37161,0.41919,-0.16929,0.18296,0.32133,-0.040298,-0.0094546,0.00483
0,0.39081,-0.10872,-0.80012,0.13667,0.16904,-0.13744,-0.21604,0.14734,-0.018472,-0.057893,0.0098468,0.50864,-0.56799,0.12468,0.2891,0.096828,-0.19464,0.33643,-0.0097564,0.015304,-0.027788,0.0036459
0,0.51164,-0.34203,0.10829,0.21863,0.12651,0.093713,-0.38215,0.25838,-0.023616,-0.03323,0.0067087,0.47443,-0.8446,-0.99701,-0.020535,0.25439,-0.0053641,-0.10092,0.072421,-0.053672,-0.044375,0.004188
0,0.4615,-0.73071,-1.0703,-0.037804,0.30067,0.069427,-0.10952,0.094726,-0.058418,-0.050147,0.0037335,-0.1396,3.7743,-0.68509,0.69189,-0.18863,-1.1893,-0.60512,-0.14075,0.15736,-0.18865,0.062743
1,0.14045,2.4463,0.20504,0.6454,0.14126,-0.41242,0.40971,0.81726,0.039163,-0.041902,0.014635,0.42551,-0.062676,-0.51479,0.19933,0.15454,-0.19181,-0.098833,0.19754,0.0032402,-0.05922,0.011578
0,0.03096,-0.40524,0.89627,-4.7024,1.2554,-1.9459,-0.8018,-0.61296,0.0070069,0.019235,0.043846,0.33906,1.1801,0.0079859,0.42917,0.22274,-0.33003,0.32544,0.78143,0.068218,-0.056991,0.016459
0,0.03096,-0.40524,0.89627,-4.7024,1.2554,-1.9459,-0.8018,-0.61296,0.0070069,0.019235,0.043846,0.080643,0.34957,0.80081,0.22264,-0.0036786,0.28744,0.69087,0.51821,-0.48198,0.30401,-0.05903
1,0.45295,-0.67949,-0.9603,-0.042672,0.33331,0.22475,-0.08791,-0.076839,-0.069028,-0.053043,0.00091769,0.60927,-0.67398,0.74791,0.44508,0.067604,-0.22661,0.60396,-0.26013,0.090066,-0.052139,0.0067586
1,-1.2435,2.5121,-0.84039,-0.20452,0.236,1.6536,0.15125,-0.90422,0.21681,-0.026427,-0.0067763,0.23768,-0.37483,-0.11028,0.19019,-0.091427,-0.041449,-0.079087,0.074279,-0.13878,0.071128,-0.011234
0,0.42866,1,1.8651,0.50444,0.34705,0.25367,1.0917,1.2062,0.037654,0.048749,-0.0056194,0.16523,0.76762,0.81848,0.61756,-0.30164,-0.40633,0.34447,-0.095867,-0.20937,0.12713,-0.017912
